id,block,block_header,temple_name,deities,location,nearby_town,district,dynasty,condition,functional_status,accessibility,page_content
192,110,Mathuranthagam Temples,Sri Lake Katha Ram Temple,"Sri Rama, Sita Devi, Lakshmana, Anjaneya, Andal, Chakrathalwar, Narasimha, Wodevar",Centrally located in Madhuranthakam,Karunkhuzi,Chengalpattu,,,Functional,"Well-connected (buses from Chennai, Chengalpattu on Chennai-Trichy highway)","Sri Lake Katha Ram Temple One of the 108 Divya Desams, this temple is centrally located in Madhuranthakam.Sri Ramabran presents Sita Devi with Lakshmana and Anjaneya in the sanctum sanctorum.The prakaram has shrines of Sita Devi, Andal, Chakrathathalwar, Narasimha, Wodevar and other great believers.The main tree of this thalam along with the flagpole is the Makilha tree.It is believed that Sri Periya Nambis preached to Sri Ramanuja in Avani month of Shukla Panchami sitting under it.The Thala Purana says that Sri Vibanda came to Maharishi's ashram and gave darshan while returning in the Pushpaka Vimana after killing Ravana.As a reminder of this, every year on the day of Pongal, Lord Rama gives a wake-up call to the nearby town of Karunkhuzi. place of remedy It is the best remedy to get the blessing of son and get rid of marriage obstacles.This place. Contact Mr. Krishna Bhattacharya (7708886360), Mr. Kumar -76393 39369, Mr. Maheswaran-9629400610.There are buses from Chennai, Chengalpattu to this place on the Chennai-Trichy highway. Sri Venkateswara Temple This ancient temple is located in the Kadapperi area of Maduranthakam.Lord Sri Venkateshwarar in the form of a big pana is facing east.Ambal Sri Meenakshi Devi is a south facing shrine.Five deity idols are sanctuaries in Goshta.There are shrines of Sri Vinayagar, Sri Subramaniyar, Sri Bhuvaneshwari, Nalvar, Sandikeswarar and Navagraha shrines in the prakaram.The inscriptions found here tell about the works and gifts made from Parantaka Chola I to Vikrama Pandyan period.Temple Theertha is Sarvaroka Nivarthi Theertha.The inscription says that a Pandya king bathed in this tirtha to get rid of his disease and worshiped the Lord.The Shiva lingam consecrated by that Pandya king is in the outer temple with the name Sri Pandiswarar.Contact Mr. Shanmukha Gurus-9087548299, Mr. Rajesh Gurus-9445748299. Mr. Senthilkumar 9003208585. Temple Opening Hours 7-11 AM 5-8 PM. The special feature of this temple is that there are four Bhairavas.History notes that Parantaka Chola I consecrated four Bhairava Murthys namely Sri Kala Bhairava, Sri Unmatthabhairava, Sri Adithangabhairava, and Swarna Agarshana Bhairava with colors representing the four Vedas.It was customary for many kings to come here before going to war and worship Eason. Sri Arulaleswarar Temple Moolavar Sri Arulaleswarar.Ambal Sri Elarkuzali.The temple is about two thousand years old.The temple consists of two prakaras, the flag tree and the Nandi Mandapam.There are shrines of Shiva Koshtas, Vinayagar, Valli Devasena Sametha Subramanya, Surya, Chandran, Bhairava, Nalvar and Navagraha.A two-period puja takes place.Contact Mr. Rajasiva Gurus-9677702991."
193,110,Mathuranthagam Temples,Sri Venkateswara Temple,"Lord Sri Venkateshwarar, Ambal Sri Meenakshi Devi, Sri Vinayagar, Sri Subramaniyar, Sri Bhuvaneshwari, Nalvar, Sandikeswarar, Navagraha, Four Bhairavas (Sri Kala Bhairava, Sri Unmatthabhairava, Sri Adithangabhairava, Swarna Agarshana Bhairava)",Kadapperi area of Maduranthakam,Maduranthakam,Chengalpattu,Parantaka Chola I to Vikrama Pandyan period (Chola and Pandya dynasties),,Functional,"Well-connected (buses from Chennai, Chengalpattu)","Sri Lake Katha Ram Temple One of the 108 Divya Desams, this temple is centrally located in Madhuranthakam.Sri Ramabran presents Sita Devi with Lakshmana and Anjaneya in the sanctum sanctorum.The prakaram has shrines of Sita Devi, Andal, Chakrathathalwar, Narasimha, Wodevar and other great believers.The main tree of this thalam along with the flagpole is the Makilha tree.It is believed that Sri Periya Nambis preached to Sri Ramanuja in Avani month of Shukla Panchami sitting under it.The Thala Purana says that Sri Vibanda came to Maharishi's ashram and gave darshan while returning in the Pushpaka Vimana after killing Ravana.As a reminder of this, every year on the day of Pongal, Lord Rama gives a wake-up call to the nearby town of Karunkhuzi. place of remedy It is the best remedy to get the blessing of son and get rid of marriage obstacles.This place. Contact Mr. Krishna Bhattacharya (7708886360), Mr. Kumar -76393 39369, Mr. Maheswaran-9629400610.There are buses from Chennai, Chengalpattu to this place on the Chennai-Trichy highway. Sri Venkateswara Temple This ancient temple is located in the Kadapperi area of Maduranthakam.Lord Sri Venkateshwarar in the form of a big pana is facing east.Ambal Sri Meenakshi Devi is a south facing shrine.Five deity idols are sanctuaries in Goshta.There are shrines of Sri Vinayagar, Sri Subramaniyar, Sri Bhuvaneshwari, Nalvar, Sandikeswarar and Navagraha shrines in the prakaram.The inscriptions found here tell about the works and gifts made from Parantaka Chola I to Vikrama Pandyan period.Temple Theertha is Sarvaroka Nivarthi Theertha.The inscription says that a Pandya king bathed in this tirtha to get rid of his disease and worshiped the Lord.The Shiva lingam consecrated by that Pandya king is in the outer temple with the name Sri Pandiswarar.Contact Mr. Shanmukha Gurus-9087548299, Mr. Rajesh Gurus-9445748299. Mr. Senthilkumar 9003208585. Temple Opening Hours 7-11 AM 5-8 PM. The special feature of this temple is that there are four Bhairavas.History notes that Parantaka Chola I consecrated four Bhairava Murthys namely Sri Kala Bhairava, Sri Unmatthabhairava, Sri Adithangabhairava, and Swarna Agarshana Bhairava with colors representing the four Vedas.It was customary for many kings to come here before going to war and worship Eason. Sri Arulaleswarar Temple Moolavar Sri Arulaleswarar.Ambal Sri Elarkuzali.The temple is about two thousand years old.The temple consists of two prakaras, the flag tree and the Nandi Mandapam.There are shrines of Shiva Koshtas, Vinayagar, Valli Devasena Sametha Subramanya, Surya, Chandran, Bhairava, Nalvar and Navagraha.A two-period puja takes place.Contact Mr. Rajasiva Gurus-9677702991."
194,110,Mathuranthagam Temples,Sri Arulaleswarar Temple,"Moolavar Sri Arulaleswarar, Ambal Sri Elarkuzali, Shiva Koshtas, Vinayagar, Valli Devasena Sametha Subramanya, Surya, Chandran, Bhairava, Nalvar, Navagraha",Madhuranthakam area,Madhuranthakam,Chengalpattu,,,Functional,,"Sri Lake Katha Ram Temple One of the 108 Divya Desams, this temple is centrally located in Madhuranthakam.Sri Ramabran presents Sita Devi with Lakshmana and Anjaneya in the sanctum sanctorum.The prakaram has shrines of Sita Devi, Andal, Chakrathathalwar, Narasimha, Wodevar and other great believers.The main tree of this thalam along with the flagpole is the Makilha tree.It is believed that Sri Periya Nambis preached to Sri Ramanuja in Avani month of Shukla Panchami sitting under it.The Thala Purana says that Sri Vibanda came to Maharishi's ashram and gave darshan while returning in the Pushpaka Vimana after killing Ravana.As a reminder of this, every year on the day of Pongal, Lord Rama gives a wake-up call to the nearby town of Karunkhuzi. place of remedy It is the best remedy to get the blessing of son and get rid of marriage obstacles.This place. Contact Mr. Krishna Bhattacharya (7708886360), Mr. Kumar -76393 39369, Mr. Maheswaran-9629400610.There are buses from Chennai, Chengalpattu to this place on the Chennai-Trichy highway. Sri Venkateswara Temple This ancient temple is located in the Kadapperi area of Maduranthakam.Lord Sri Venkateshwarar in the form of a big pana is facing east.Ambal Sri Meenakshi Devi is a south facing shrine.Five deity idols are sanctuaries in Goshta.There are shrines of Sri Vinayagar, Sri Subramaniyar, Sri Bhuvaneshwari, Nalvar, Sandikeswarar and Navagraha shrines in the prakaram.The inscriptions found here tell about the works and gifts made from Parantaka Chola I to Vikrama Pandyan period.Temple Theertha is Sarvaroka Nivarthi Theertha.The inscription says that a Pandya king bathed in this tirtha to get rid of his disease and worshiped the Lord.The Shiva lingam consecrated by that Pandya king is in the outer temple with the name Sri Pandiswarar.Contact Mr. Shanmukha Gurus-9087548299, Mr. Rajesh Gurus-9445748299. Mr. Senthilkumar 9003208585. Temple Opening Hours 7-11 AM 5-8 PM. The special feature of this temple is that there are four Bhairavas.History notes that Parantaka Chola I consecrated four Bhairava Murthys namely Sri Kala Bhairava, Sri Unmatthabhairava, Sri Adithangabhairava, and Swarna Agarshana Bhairava with colors representing the four Vedas.It was customary for many kings to come here before going to war and worship Eason. Sri Arulaleswarar Temple Moolavar Sri Arulaleswarar.Ambal Sri Elarkuzali.The temple is about two thousand years old.The temple consists of two prakaras, the flag tree and the Nandi Mandapam.There are shrines of Shiva Koshtas, Vinayagar, Valli Devasena Sametha Subramanya, Surya, Chandran, Bhairava, Nalvar and Navagraha.A two-period puja takes place.Contact Mr. Rajasiva Gurus-9677702991."
195,111,Venpakkam Temples,Sri Kundaleeswarar Temple,"Shiva (Sri Kundaleeswarar), Ambal (Sri Yogamphikai)","Venpakkam village, 5 km near Singaperumal Temple",Singaperumalkoil,Chengalpattu,,Intact,Functional,"Well-connected, 5 km from Singaperumal Temple, contact numbers available","Shiva Sri Kundaleeswarar. Ambal                   Sri Yogamphikai Location 5 km near Singaperumal TempleIn the distance Venpakkam village. The Shivalinga found in a thorn bush was taken and the temple was built nearby.The three temples of Thirukkachur Sri Darshaneeswarar and Kolathur Tulaseeswarar Venpakakkam Kundaleeswarar are located in the same straight line.Considered to be the place of worship of the three Siddhas.Thirukkulam is also found nearby.Contact Mr. Bala Sundaram-9444707073 Mr. Balaraman-9380760432, Mr. Narasimhan-9751089926 Perumal temple Source: Sridevi Bhoodevi Sametha Sri Srinivasa Perumal Mother Sri Alamelumangai-Thani Sannathi. Arul Balikrar Srinivasa Perumal stood under Ananda Vimana in the stone temple with flagpole and prakara.A period of puja takes place.Contact Mr Santhanam-9176068608 Mr Balaraman 93807 60432."
196,111,Venpakkam Temples,Sri Srinivasa Perumal Temple,"Srinivasa Perumal (Vishnu), Mother Sri Alamelumangai-Thani Sannathi (Lakshmi)",Venpakkam village,Singaperumalkoil,Chengalpattu,,Intact,Functional,"Well-connected, stone temple with flagpole and prakara, contact numbers available","Shiva Sri Kundaleeswarar. Ambal                   Sri Yogamphikai Location 5 km near Singaperumal TempleIn the distance Venpakkam village. The Shivalinga found in a thorn bush was taken and the temple was built nearby.The three temples of Thirukkachur Sri Darshaneeswarar and Kolathur Tulaseeswarar Venpakakkam Kundaleeswarar are located in the same straight line.Considered to be the place of worship of the three Siddhas.Thirukkulam is also found nearby.Contact Mr. Bala Sundaram-9444707073 Mr. Balaraman-9380760432, Mr. Narasimhan-9751089926 Perumal temple Source: Sridevi Bhoodevi Sametha Sri Srinivasa Perumal Mother Sri Alamelumangai-Thani Sannathi. Arul Balikrar Srinivasa Perumal stood under Ananda Vimana in the stone temple with flagpole and prakara.A period of puja takes place.Contact Mr Santhanam-9176068608 Mr Balaraman 93807 60432."
197,113,Venkatapuram Temples,Sri Vaidyanatha Eshwar Temple,"Sri Vaidyanatha Eshwar, Sri Thayalanaiki, Sri Vinayagar, Sri Murugan, Sri Sandikeswarar, Sribhairava","Venkatapuram village, 4 km from Oragadam on road from Sinhaperumal Temple",Oragadam,,,Intact,Functional,Well-connected,"Shiva Sri Vaidyanatha Eshwar Ambal Sri Thayalanaiki Shrines Sri Vinayagar, Sri Murugan, Sri Sandikeswarar, Sribhairava locationOragadam from Sinhaperumal Temple 4 km on the road.Venkatapuram in the distance This temple is in the village  Temple Timings 8.30 AM to 6 PM. Contact Mr. Subramani-9841761714, Mr. Tharuman-9381803695 Mr. Gunamarunthan  -9380612065 Sri Kalyana Varadaraja Perumal as Sridevi Bhoodevi Samethar has a temple in this Venkatapuram village.Standing column.Perhaps the puja takes place daily.Contact Mr Sridharan-94454 00614. Mr Raju Iyengar-9941371002."
198,113,Venkatapuram Temples,Sri Kalyana Varadaraja Perumal Temple,"Sri Kalyana Varadaraja Perumal, Sridevi, Bhoodevi",Venkatapuram village,Oragadam,,,Intact,Functional,Well-connected,"Shiva Sri Vaidyanatha Eshwar Ambal Sri Thayalanaiki Shrines Sri Vinayagar, Sri Murugan, Sri Sandikeswarar, Sribhairava locationOragadam from Sinhaperumal Temple 4 km on the road.Venkatapuram in the distance This temple is in the village  Temple Timings 8.30 AM to 6 PM. Contact Mr. Subramani-9841761714, Mr. Tharuman-9381803695 Mr. Gunamarunthan  -9380612065 Sri Kalyana Varadaraja Perumal as Sridevi Bhoodevi Samethar has a temple in this Venkatapuram village.Standing column.Perhaps the puja takes place daily.Contact Mr Sridharan-94454 00614. Mr Raju Iyengar-9941371002."
199,114,Kolathur Tmples,Thirunarayana Perumal Temple,"Thirunarayana Perumal, Sri Amodhavalli, Sri Krishna, Sri Andal, Sri Desikar, Alwar, Sri Rama, Sri Anjaneya","On Oragadam Road from Singaperumal Temple, 5 km from Kulathur","Singaperumal, Kulathur",,Vikrama Chola,,Functional,On Oragadam Road from Singaperumal Temple,"Thirunarayana Perumal Temple Source: Sridevi Bhoodevi Sametha Sri Thirunarayana Perumal Mother Sri Amodhavalli is a separate shrine. Other shrines are Sri Krishna, Sri Andal, Sri Desikar, Alwar, Sri Rama, and Sri Anjaneya. Location               On Oragadam Road from Singaperumal Temple 5 kmKulathur is far away. The inscription says that it was built by a king named Vikrama Chola.A period of puja takes place.Contact Mr. Santhanam Bhattacharya-91760 68608 Sri Tulaseeswarar Temple Shiva                 Sri Tulaseeswarar Ambal           Sri Vilvanaiaki Shrines Pancha Goshtam, Vinayagar, Ongara form with twelve arms, Subramaniyar, Chandikeshwara, auspicious Kalyana Durga in separate shrine, Surya, Chandran, Bhairava, Navagraha. It is one of the 108 temples consecrated by Sage Sri Agathiya Munivar.Thala History News that Lord Ardhanareeswarar presented a kolam to Sri Agasthya.Built during the Vikrama Chola era, this temple has recently been newly constructed.Contact Mr. Ramesh-9444022133, Mr. Raja-9380706698, Mr. Selvaraj-9443264215."
200,114,Kolathur Tmples,Sri Tulaseeswarar Temple,"Sri Tulaseeswarar (Shiva), Sri Vilvanaiaki (Ambal), Pancha Goshtam, Vinayagar, Ongara (twelve arms), Subramaniyar, Chandikeshwara, Kalyana Durga, Surya, Chandran, Bhairava, Navagraha",,Kolathur,,Vikrama Chola,Intact,Functional,,"Thirunarayana Perumal Temple Source: Sridevi Bhoodevi Sametha Sri Thirunarayana Perumal Mother Sri Amodhavalli is a separate shrine. Other shrines are Sri Krishna, Sri Andal, Sri Desikar, Alwar, Sri Rama, and Sri Anjaneya. Location               On Oragadam Road from Singaperumal Temple 5 kmKulathur is far away. The inscription says that it was built by a king named Vikrama Chola.A period of puja takes place.Contact Mr. Santhanam Bhattacharya-91760 68608 Sri Tulaseeswarar Temple Shiva                 Sri Tulaseeswarar Ambal           Sri Vilvanaiaki Shrines Pancha Goshtam, Vinayagar, Ongara form with twelve arms, Subramaniyar, Chandikeshwara, auspicious Kalyana Durga in separate shrine, Surya, Chandran, Bhairava, Navagraha. It is one of the 108 temples consecrated by Sage Sri Agathiya Munivar.Thala History News that Lord Ardhanareeswarar presented a kolam to Sri Agasthya.Built during the Vikrama Chola era, this temple has recently been newly constructed.Contact Mr. Ramesh-9444022133, Mr. Raja-9380706698, Mr. Selvaraj-9443264215."
201,115,Appur Temples,Sri Nitya Kalyana Prasanna Venkatesa Perumal Temple,Sri Nitya Kalyana Prasanna Venkatesa Perumal (Vishnu),"Village of Appur, on Olashada Kundram hill (500 steps)",Singaperumal Temple-Oragadam road,,,Intact,Functional,"Moderate (500 steps climb, on main road to Singaperumal Temple-Oragadam)","During the Treta Yuga, Sri Rama's devotee Hanuman took Sanjeevi Hill and while coming to Agaya Marga, a small piece fell down and became a small hill.This small hill with lots of herbs was called Olashada Kundram.It is believed that many Siddhas are still undergoing penance on this rare mountain.Presently located in the village of Appur, one can climb 500 steps on this hill and have darshan of Sri Nitya Kalyana Prasanna Venkatesa Perumal.Small stone temple.In the sanctum sanctorum alone blesses.Because Perumal resides in the chest, sarees are worn as clothing for Perumal. Sri Nitya Kalyana Prasanna Venkatesa Perumal will be benefited if he comes to pray for the marriage ban to melt his heart. This temple is situated on the road leading to Singaperumal Temple-Oragadam.Temple timings are 8-9.30 am on Monday and Friday.8-11.30 am on Saturday and Sunday.For further contact Mr. Sri Raman Bhattacharya 9952110109, Mr. Santhanam-9443555338, Mr. Ravi Chandran-9840091587. Sri Agastheeswarar Temple A small stone temple is located in the village of Appur.In the sanctum sanctorum, there is only the Sivalingam Nandikeshwar, and the Sri Akhilandeshwari idols with broken legs.No other idols were found.Sri Vinayaka and Muruga can be seen in relief on the facade.No pujas are held here.The temple is in need of repair.Contact Mr. Parthasarathy-9962167350, Mr. Tillibabu-9444298602, Mr. Ramesh- 9095122031."
202,115,Appur Temples,Sri Agastheeswarar Temple,"Sivalingam (Shiva), Nandikeshwar, Sri Akhilandeshwari (broken legs), Sri Vinayaka and Muruga (relief)",Village of Appur,Singaperumal Temple-Oragadam road,,,Dilapidated,Non-Functional,Accessible in village,"During the Treta Yuga, Sri Rama's devotee Hanuman took Sanjeevi Hill and while coming to Agaya Marga, a small piece fell down and became a small hill.This small hill with lots of herbs was called Olashada Kundram.It is believed that many Siddhas are still undergoing penance on this rare mountain.Presently located in the village of Appur, one can climb 500 steps on this hill and have darshan of Sri Nitya Kalyana Prasanna Venkatesa Perumal.Small stone temple.In the sanctum sanctorum alone blesses.Because Perumal resides in the chest, sarees are worn as clothing for Perumal. Sri Nitya Kalyana Prasanna Venkatesa Perumal will be benefited if he comes to pray for the marriage ban to melt his heart. This temple is situated on the road leading to Singaperumal Temple-Oragadam.Temple timings are 8-9.30 am on Monday and Friday.8-11.30 am on Saturday and Sunday.For further contact Mr. Sri Raman Bhattacharya 9952110109, Mr. Santhanam-9443555338, Mr. Ravi Chandran-9840091587. Sri Agastheeswarar Temple A small stone temple is located in the village of Appur.In the sanctum sanctorum, there is only the Sivalingam Nandikeshwar, and the Sri Akhilandeshwari idols with broken legs.No other idols were found.Sri Vinayaka and Muruga can be seen in relief on the facade.No pujas are held here.The temple is in need of repair.Contact Mr. Parthasarathy-9962167350, Mr. Tillibabu-9444298602, Mr. Ramesh- 9095122031."
203,116,Mannivakkam Temples,Sri Manneeswarar Temple,"Sri Maneeswarar (Swayambu Murthy), Ambal Sri Marakatambikai, Kannimoolai Ganapati, Valli Devasena Sametha Subramaniyar, Sandikeswarar, Surya, Chandran, Bhairava, Sri Durgai",Mannivakkam,Tambaram (8 km),Kanchipuram,Chola King Kulothunga III,Intact,Functional,Well-connected with plenty of buses from Chennai and Tambaram on Tambaram-Kanchipuram road,"Sri Manneeswarar Temple Source Sri Maneeswarar- Swayambu Murthy. Ambal Sri Marakatambikai A stone temple with two prakaras and a flagpole.Built by the Chola King Kulothunga III.Five Goshta Murthys give darshan while crawling through the prakara.There are shrines of Kannimoolai Ganapati, Valli, Devasena Sametha Subramaniyar, Sandikeswarar, Surya, Chandran and Bhairava in the prakaram.Ganesha and Murugan forms are seen on both sides of the entrance gate of Mahamandapam.Rarely, the Nandi Devar in the prakaram offers a view towards the east.Sri Durgai shrine near Ambal shrine is a special feature.The prayers of the devotees are immediately fulfilled by the grace of Goddess Sri Durga.Vanni tree is the main tree here. Head history. Earlier this place was a big forest.Annie lived by hunting animals in the forest.Knowing that this is a sinful act, he came to this profession without any other option.Once when no animal was found, he cut the root of a Vanni tree to satisfy his hunger.The root grew longer and longer.Also look at the pattern of blood on the root.He was horrified and told the king about this.The king came immediately and saw a Shiva Lingam at that place.Even if they tried to take it outside with elephants, it was lingam.did not move.At that time, an order came from Asariri to build a temple on this spot and all the sins of that vedan were removed.It is said that the temple was built here accordingly. A man who is blessed by counting If you are suffering from any kind of illness, come here and sincerely pray to the Lord and Goddess, all the diseases will be cured.It is true. Timings of this temple are 7-10 AM and 5-7 PM.Also contact Mr. Narayanan-9710422954, Ms. Ramadevi-9445243489, Mr. Thangarajan- 9941256346, Mr. Jothimahalingam-7871566106.Tambaram is 8 km from here.There are plenty of buses from Chennai and Thambaparam to Mannivakkam on the Thambaram Kanchipuram road. Sri Komalavalli's mother was Sametha Sri Manivanna Perumal This temple is located in the western direction of the town.The old temple has been renovated and has a new luster.Pujas are held twice a day.Perumal presents the scene in a standing golem."
204,116,Mannivakkam Temples,Sri Manivanna Perumal Temple,"Sri Manivanna Perumal, Sri Komalavalli Thayar",Mannivakkam (western direction of town),Tambaram,Kanchipuram,,Intact,Functional,Well-connected with plenty of buses from Chennai and Tambaram on Tambaram-Kanchipuram road,"Sri Manneeswarar Temple Source Sri Maneeswarar- Swayambu Murthy. Ambal Sri Marakatambikai A stone temple with two prakaras and a flagpole.Built by the Chola King Kulothunga III.Five Goshta Murthys give darshan while crawling through the prakara.There are shrines of Kannimoolai Ganapati, Valli, Devasena Sametha Subramaniyar, Sandikeswarar, Surya, Chandran and Bhairava in the prakaram.Ganesha and Murugan forms are seen on both sides of the entrance gate of Mahamandapam.Rarely, the Nandi Devar in the prakaram offers a view towards the east.Sri Durgai shrine near Ambal shrine is a special feature.The prayers of the devotees are immediately fulfilled by the grace of Goddess Sri Durga.Vanni tree is the main tree here. Head history. Earlier this place was a big forest.Annie lived by hunting animals in the forest.Knowing that this is a sinful act, he came to this profession without any other option.Once when no animal was found, he cut the root of a Vanni tree to satisfy his hunger.The root grew longer and longer.Also look at the pattern of blood on the root.He was horrified and told the king about this.The king came immediately and saw a Shiva Lingam at that place.Even if they tried to take it outside with elephants, it was lingam.did not move.At that time, an order came from Asariri to build a temple on this spot and all the sins of that vedan were removed.It is said that the temple was built here accordingly. A man who is blessed by counting If you are suffering from any kind of illness, come here and sincerely pray to the Lord and Goddess, all the diseases will be cured.It is true. Timings of this temple are 7-10 AM and 5-7 PM.Also contact Mr. Narayanan-9710422954, Ms. Ramadevi-9445243489, Mr. Thangarajan- 9941256346, Mr. Jothimahalingam-7871566106.Tambaram is 8 km from here.There are plenty of buses from Chennai and Thambaparam to Mannivakkam on the Thambaram Kanchipuram road. Sri Komalavalli's mother was Sametha Sri Manivanna Perumal This temple is located in the western direction of the town.The old temple has been renovated and has a new luster.Pujas are held twice a day.Perumal presents the scene in a standing golem."
205,117,Silavattam Sivan Temple,Silavattam Sivan Temple,"Shiva Lingam, Nandi Devar",Silavatam,Madhuranthakam,,,,Functional,"Accessible via national highway, 2 km from Madhuranthakam","A Shiva lingam and an idol of Nandi Devar can be seen under the royal tree by the pond.Puja is performed daily to Shiva Lingam.No details.Contact Mr. Devarajan-8220230157.The town where this temple is located is called Silavatam, about 2 km after Madhuranthakam on the national highway.Located in the distance."
206,118,Umananchery Temples,Sri Vridhakriswarar Temple,"Swami Sri Vridhakriswarar, Ambal Sri Vridhambhikai, Pancha Goshta shrines, Chandikeshwara, Bhairava, Navagragam","Umanancheri village, about 6 km eastbound from Perungulathur after Chennai",Perungulathur,,Pallava period,Dilapidated,Functional,Well-connected (bus from Chennai Tambaram),"About 6 km on the eastbound road that branches off at Perungulathur after Chennai.By traveling you can reach Umanancheri village.The temple located in this town was built during the Pallavar period.The temple which used to have three temples now has a new smaller look.A stone temple with a hole shrine.Swami Sri Vridhakriswarar presents the scene on a square-shaped peedam.Ambal Sri Vridhambhikai.South facing shrine.Along with the Pancha Goshta shrines there are Chandikeshwara and Bhairava shrines of the Navagragam period.Temple Thala Vrutsam Vilvam.The temple tirtha is currently missing.It is revered as a healing place for curing ailments.In the morning of the month of Tai, the red rays of the sun fall on Swami Thirumeni and the puja is seen.Temple Priest Mr. Murthy Shivacharya-8124949696 For more details Mr. Viswanathan-9841287775 Mr. Rajendra Kumar-9566387667.Temple Timings 7am-10.30pm-5.30-7.30pm  Bus comes here from Chennai Tambaram. Sri Kothandaram Temple It seems that the Sri Vridhakriswarar temple here and this temple were built at the same time.Moolavar presents Sri Rama, Sita Devi, Lakshmana Bharata Chatrukanan and Hanuman as Sakhitam.Utsawar Sridevi  Boodevi Sametha Srinivasa Perumal.Tirupati Devasthanam is an adorable place.Chebbedu reports say that a Pallava king was suffering from an intractable stomach ache and on the advice of his Guru worshiped Sri Vridhakriswarar and got well and built Sri Kothandaram Temple and Thirukkulam here.Contact Mr. Rangarajan-8056273680, 9443143764 Mr. Vijayakumar-9884177148, Mr. Kesavabhattar-98404 99380 The temple pond is behind the temple.Darshan timings are 7.30-10.30 am and 5-7.30 pm"
207,118,Umananchery Temples,Sri Kothandaram Temple,"Moolavar: Sri Rama, Sita Devi, Lakshmana, Bharata, Chatrukanan, Hanuman as Sakhitam; Utsawar: Sridevi Boodevi Sametha Srinivasa Perumal",Umanancheri village,Perungulathur,,Pallava period,,Functional,Well-connected (bus from Chennai Tambaram),"About 6 km on the eastbound road that branches off at Perungulathur after Chennai.By traveling you can reach Umanancheri village.The temple located in this town was built during the Pallavar period.The temple which used to have three temples now has a new smaller look.A stone temple with a hole shrine.Swami Sri Vridhakriswarar presents the scene on a square-shaped peedam.Ambal Sri Vridhambhikai.South facing shrine.Along with the Pancha Goshta shrines there are Chandikeshwara and Bhairava shrines of the Navagragam period.Temple Thala Vrutsam Vilvam.The temple tirtha is currently missing.It is revered as a healing place for curing ailments.In the morning of the month of Tai, the red rays of the sun fall on Swami Thirumeni and the puja is seen.Temple Priest Mr. Murthy Shivacharya-8124949696 For more details Mr. Viswanathan-9841287775 Mr. Rajendra Kumar-9566387667.Temple Timings 7am-10.30pm-5.30-7.30pm  Bus comes here from Chennai Tambaram. Sri Kothandaram Temple It seems that the Sri Vridhakriswarar temple here and this temple were built at the same time.Moolavar presents Sri Rama, Sita Devi, Lakshmana Bharata Chatrukanan and Hanuman as Sakhitam.Utsawar Sridevi  Boodevi Sametha Srinivasa Perumal.Tirupati Devasthanam is an adorable place.Chebbedu reports say that a Pallava king was suffering from an intractable stomach ache and on the advice of his Guru worshiped Sri Vridhakriswarar and got well and built Sri Kothandaram Temple and Thirukkulam here.Contact Mr. Rangarajan-8056273680, 9443143764 Mr. Vijayakumar-9884177148, Mr. Kesavabhattar-98404 99380 The temple pond is behind the temple.Darshan timings are 7.30-10.30 am and 5-7.30 pm"
208,119,Nedunkundram Sivan Temple,Nedunkundram Sivan Temple,"Swami Sri Agastheeswarar, Ambal Shri Tripurasundari",Nedungunram,Perungulathur,,,,Functional,Well-connected,"Swami Sri Agastheeswarar Ambal Shri Tripurasundari Location: Nedungunram Darshan Timings 6-10 AM 5.30-8 PM Location     Near Perungulathur 4 Kms.Auto and bus facilities are available. Temple Theertha Brahma Theertha The main tree is the banyan tree Shrines Shiva Goshtam, Valli Devasena Subramanyar, Mahalakshmi, Sanaicharan, Bhairava, Surya, Four.and Navagraha. Rahu and Ketu are considered as parikara thalam. Contact Mr. Ramkumar-9841724234, Mr. Rajkumar-9940073127, Mr. Siva Kumar Sivacharyaar 9381051301."
209,120,Thimmavaram Sivan Temple,Thimmavaram Sivan Temple,"Sri Vaideeswarar, Ambal Sri Taiyalanaiki, Vinayagar, Subramaniyar, Bhairava, Navagragam, Padavettamman, Pancha Goshtam","Thimmavaram village, 2 km on the road from Chengalpattu to Kanchipuram","Chengalpattu, Kanchipuram",Kanchipuram,,Intact,Functional,Well-connected,"2 km on the road from Chengalpattu to Kanchipuram.In the distant village of Thimmavaram is the Sri Vaideeswarar temple.Ambal Sri Taiyalanaiki.Recently the temple has been repaired and pujas are being performed.Along with Pancha Goshtam, Vinayagar, Subramaniyar, Bhairava and Navagragam, the shrine of Padavettamman is a special feature of this temple.Temple priest Mr. Ashok Vathiar-9786977574. Mr. Ramu-8940486652, Thirubabu-8675788368."
